service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
1,20220223,20220326,1,1,1,1,1,0,0
2,20220223,20220326,1,1,1,1,1,0,0
3,20220223,20220326,1,1,1,1,1,0,0
4,20220223,20220326,1,1,1,1,1,0,0
5,20220223,20220326,1,1,1,1,1,0,0
6,20220223,20220326,1,1,1,1,1,0,0
7,20220223,20220326,1,1,1,1,1,0,0
8,20220223,20220326,1,1,1,1,0,0,0
9,20220223,20220326,1,1,1,1,1,0,0
10,20220223,20220326,1,1,1,1,1,0,0
11,20220223,20220326,1,1,1,1,1,0,0
12,20220223,20220326,1,1,1,1,1,0,0
13,20220223,20220326,1,1,1,1,1,0,0
14,20220223,20220326,0,1,1,1,0,0,0
15,20220223,20220326,1,1,1,1,1,0,0
16,20220223,20220326,1,1,1,0,0,0,0
17,20220223,20220326,1,1,1,1,1,0,0
18,20220223,20220326,1,1,1,1,1,0,0
19,20220223,20220326,1,1,1,0,0,0,0
20,20220223,20220326,0,0,0,0,1,0,0
21,20220223,20220326,0,0,0,0,1,0,0
22,20220223,20220326,1,1,1,1,1,0,0
23,20220223,20220326,1,0,1,1,1,0,0
24,20220223,20220326,1,1,0,0,0,0,0
25,20220223,20220326,1,1,1,1,1,0,0
26,20220223,20220326,0,1,0,0,0,0,0
27,20220223,20220326,1,1,1,1,1,0,0
28,20220223,20220326,1,1,1,1,1,0,0
29,20220223,20220326,1,1,0,0,0,0,0
30,20220223,20220326,1,1,1,1,1,0,0
31,20220223,20220326,1,1,1,1,1,0,0
32,20220223,20220326,1,1,1,1,1,0,0
33,20220223,20220326,1,1,1,1,1,0,0
34,20220223,20220326,1,1,1,1,1,0,0
35,20220223,20220326,1,1,1,1,1,0,0
36,20220223,20220326,1,1,1,1,1,0,0
37,20220223,20220326,1,0,1,0,1,0,0
38,20220223,20220326,1,1,1,1,0,0,0
39,20220223,20220326,1,1,1,1,1,0,0
40,20220223,20220326,0,0,0,0,1,0,0
41,20220223,20220326,1,1,1,1,1,0,0
42,20220223,20220326,1,1,1,1,1,0,0
43,20220223,20220326,1,1,0,0,0,0,0
44,20220223,20220326,1,1,1,1,1,0,0
45,20220223,20220326,0,0,0,0,0,0,1
46,20220223,20220326,1,1,1,1,1,0,0
47,20220223,20220326,0,1,1,1,0,0,0
48,20220223,20220326,0,1,1,1,0,0,0
49,20220223,20220326,0,0,0,0,0,0,1
50,20220223,20220326,1,1,1,1,1,1,1
51,20220223,20220326,0,0,0,0,0,0,1
52,20220223,20220326,1,1,1,1,1,0,0
53,20220223,20220326,0,0,0,0,1,0,0
54,20220223,20220326,0,0,0,0,0,0,1
55,20220223,20220326,1,1,1,0,1,0,0
56,20220223,20220326,1,1,1,1,1,0,0
57,20220223,20220326,1,1,1,1,1,0,0
58,20220223,20220326,1,1,1,1,1,0,0
59,20220223,20220326,1,1,1,1,1,0,0
60,20220223,20220326,1,1,1,1,1,0,0
61,20220223,20220326,1,1,1,1,1,0,0
62,20220223,20220326,1,1,1,1,1,0,0
63,20220223,20220326,1,1,1,1,1,0,0
64,20220223,20220326,1,1,1,1,1,0,0
65,20220223,20220326,1,1,1,1,1,0,0
66,20220223,20220326,1,1,1,1,1,0,0
67,20220223,20220326,0,0,0,0,1,0,0
68,20220223,20220326,1,1,1,1,1,0,0
69,20220223,20220326,0,1,0,0,1,0,0
70,20220223,20220326,1,1,1,1,1,0,0
71,20220223,20220326,1,1,1,1,1,0,0
72,20220223,20220326,0,1,0,0,0,0,0
73,20220223,20220326,1,1,1,1,1,0,0
74,20220223,20220326,1,1,1,1,1,0,0
75,20220223,20220326,0,0,0,0,1,0,0
76,20220223,20220326,0,0,0,1,0,0,0
77,20220223,20220326,0,0,1,0,0,0,0
78,20220223,20220326,0,0,0,0,1,0,0
79,20220223,20220326,1,1,1,1,1,0,0
80,20220223,20220326,0,1,1,0,0,0,0
81,20220223,20220326,1,1,1,1,1,0,0
82,20220223,20220326,1,1,1,1,1,0,0
83,20220223,20220326,1,1,1,1,1,0,0
84,20220223,20220326,1,1,1,1,0,0,0
85,20220223,20220326,1,1,1,1,1,0,0
86,20220223,20220326,1,1,1,1,1,0,0
87,20220223,20220326,0,1,0,0,1,0,0
88,20220223,20220326,1,0,0,0,0,0,0
89,20220223,20220326,0,0,1,1,0,0,0
90,20220223,20220326,0,0,0,1,0,0,0
91,20220223,20220326,0,0,1,0,0,0,0
92,20220223,20220326,0,0,0,0,0,0,1
93,20220223,20220326,1,1,1,1,1,0,0
94,20220223,20220326,1,0,0,0,0,0,0
95,20220223,20220326,1,1,1,1,1,0,0
96,20220223,20220326,0,0,0,0,1,0,0
97,20220223,20220326,1,1,1,1,1,0,0
98,20220223,20220326,1,1,1,1,1,0,0
99,20220223,20220326,0,0,0,0,0,0,1
100,20220223,20220326,0,0,0,0,1,0,0
101,20220223,20220326,1,1,1,1,0,0,0
102,20220223,20220326,1,1,0,0,0,0,0
103,20220223,20220326,1,1,1,1,1,0,0
104,20220223,20220326,0,1,1,1,0,0,0
105,20220223,20220326,1,1,1,1,0,0,0
106,20220223,20220326,1,1,1,1,1,0,0
107,20220223,20220326,0,1,0,0,0,0,0
108,20220223,20220326,0,0,1,0,1,0,0
109,20220223,20220326,1,1,1,1,1,0,0
110,20220223,20220326,1,1,1,1,1,0,0
111,20220223,20220326,1,1,1,1,1,0,0
112,20220223,20220326,0,0,0,0,1,0,1
113,20220223,20220326,0,0,0,0,0,0,1
114,20220223,20220326,1,1,1,1,1,0,0
115,20220223,20220326,1,1,1,1,1,0,0
116,20220223,20220326,1,1,1,1,1,0,0
117,20220223,20220326,0,1,0,0,0,0,0
118,20220223,20220326,0,0,0,0,1,0,0
119,20220223,20220326,0,0,1,0,0,0,0
120,20220223,20220326,0,0,0,1,0,0,0
121,20220223,20220326,0,0,0,0,1,0,0
122,20220223,20220326,1,1,1,1,1,0,0
123,20220223,20220326,0,0,0,0,1,0,0
124,20220223,20220326,1,1,1,1,1,0,0
125,20220223,20220326,1,1,1,1,1,0,0
126,20220223,20220326,0,0,1,0,0,0,0
127,20220223,20220326,0,0,0,0,1,0,0
128,20220223,20220326,1,1,1,1,1,0,0
129,20220223,20220326,1,1,1,1,1,0,0
130,20220223,20220326,1,1,1,1,1,0,0
131,20220223,20220326,1,1,1,1,1,0,0
132,20220223,20220326,1,1,1,1,1,1,1
133,20220223,20220326,1,1,1,1,1,0,0
134,20220223,20220326,1,1,1,1,1,0,0
135,20220223,20220326,0,1,0,0,0,0,0
136,20220223,20220326,0,0,0,0,1,0,0
137,20220223,20220326,0,1,0,1,1,0,0
138,20220223,20220326,0,0,0,0,1,0,0
139,20220223,20220326,0,0,0,0,0,0,1
140,20220223,20220326,0,0,1,0,0,0,0
141,20220223,20220326,1,1,1,1,1,0,0
142,20220223,20220326,1,1,1,1,1,0,0
143,20220223,20220326,1,1,1,1,0,0,0
144,20220223,20220326,1,1,1,1,1,0,0
145,20220223,20220326,1,1,1,1,1,0,0
146,20220223,20220326,1,1,1,1,1,0,0
147,20220223,20220326,1,1,1,1,0,0,0
148,20220223,20220326,1,1,1,1,1,0,0
149,20220223,20220326,1,1,1,1,1,0,0
150,20220223,20220326,1,1,1,1,1,0,0
151,20220223,20220326,1,1,1,1,1,0,0
152,20220223,20220326,1,1,1,1,1,0,0
153,20220223,20220326,1,1,1,1,1,0,0
154,20220223,20220326,1,1,1,1,1,0,0
155,20220223,20220326,0,0,0,1,0,0,0
156,20220223,20220326,1,1,1,1,1,0,0
157,20220223,20220326,1,1,1,1,1,0,0
158,20220223,20220326,0,0,0,0,1,0,1
159,20220223,20220326,0,0,0,0,0,0,0
160,20220223,20220326,0,0,0,0,0,0,0
161,20220223,20220326,0,0,0,0,0,0,0
162,20220223,20220326,0,0,0,0,0,0,0
163,20220223,20220326,0,0,0,0,0,0,0
164,20220223,20220326,0,0,0,0,0,0,0
165,20220223,20220326,0,0,0,0,0,0,0
166,20220223,20220326,0,0,0,0,0,0,0
167,20220223,20220326,0,0,0,0,0,0,0
168,20220223,20220326,0,0,0,0,0,0,0
169,20220223,20220326,0,0,0,0,0,0,0
170,20220223,20220326,0,0,0,0,0,0,0
171,20220223,20220326,0,0,0,0,0,0,0
172,20220223,20220326,0,0,0,0,0,0,0
