agency_id,route_id,route_long_name,route_type,route_url,route_short_name
fahrgemeinschaft,1,"Mooswiesen, Ravensburg nach Schwendi, Gemeindeverwaltungsverband Schwendi",1700,https://ride2go.com/?trip=322337,
fahrgemeinschaft,2,"Vetter Pharma, Ravensburg nach Biberach (Riß), Biberach an der Riß",1700,https://ride2go.com/?trip=454846,
fahrgemeinschaft,3,"Im Oberwang, Kempten (Allgäu) nach Grüntenstraße, Sonthofen",1700,https://ride2go.com/?trip=560968,
fahrgemeinschaft,4,"Christazhofen, Argenbühl nach MTU Friedrichshafen - Werk 1, Friedrichshafen",1700,https://ride2go.com/?trip=662630,
fahrgemeinschaft,5,"Christazhofen, Argenbühl nach Lindenberg im Allgäu",1700,https://ride2go.com/?trip=255574,
fahrgemeinschaft,6,"Lindenberg im Allgäu nach Christazhofen, Argenbühl",1700,https://ride2go.com/?trip=465620,
fahrgemeinschaft,7,"Schwendi, Gemeindeverwaltungsverband Schwendi nach Mooswiesen, Ravensburg",1700,https://ride2go.com/?trip=636313,
fahrgemeinschaft,8,"Mammostraße, Memmingen nach Kempten, Stadtbadstr./Jakobsw.",1700,https://ride2go.com/?trip=101027,
fahrgemeinschaft,9,"Biberach (Riß), Biberach an der Riß nach Vetter Pharma, Ravensburg",1700,https://ride2go.com/?trip=985438,
fahrgemeinschaft,10,"JUFA Kempten im Allgäu, Kempten (Allgäu) nach Mammostraße, Memmingen",1700,https://ride2go.com/?trip=101023,
fahrgemeinschaft,11,"Eiselauer Weg, Ulm nach Blumenau, Weingarten",1700,https://ride2go.com/?trip=618512,
fahrgemeinschaft,12,"Universitätsklinikum Ulm, Ulm nach Bahnhof, Biberach an der Riß",1700,https://ride2go.com/?trip=661257,
fahrgemeinschaft,13,Ulm Rathaus nach Memmingen,1700,https://ride2go.com/?trip=100952,
fahrgemeinschaft,14,"Landkreis Heidenheim nach Hochschule Neu-Ulm, Neu-Ulm",1700,https://ride2go.com/?trip=921761,
fahrgemeinschaft,15,"Augsburger Straße, Füssen nach McDonald's Kempten, Kempten (Allgäu)",1700,https://ride2go.com/?trip=314080,
fahrgemeinschaft,16,"Waal, Buchloe nach Herzogsägmühle, Peiting",1700,https://ride2go.com/?trip=294387,
fahrgemeinschaft,17,"Freising nach Greifenberg, Schondorf a.Ammersee (VGem)",1700,https://ride2go.com/?trip=216375,
fahrgemeinschaft,18,"McDonald's Kempten, Kempten (Allgäu) nach Augsburger Straße, Füssen",1700,https://ride2go.com/?trip=258353,
fahrgemeinschaft,19,"Herzogsägmühle, Peiting nach Waal, Buchloe",1700,https://ride2go.com/?trip=961529,
fahrgemeinschaft,20,"Landsberg am Lech nach Ludenhausen, Reichling",1700,https://ride2go.com/?trip=712088,
fahrgemeinschaft,21,"Ludenhausen, Reichling nach Landsberg (Lech), Landsberg am Lech",1700,https://ride2go.com/?trip=463368,
fahrgemeinschaft,22,"Allianz Campus, Unterföhring nach Mindelheim",1700,https://ride2go.com/?trip=584029,
fahrgemeinschaft,23,"Garmisch-Partenkirchen nach Katholische Stiftungshochschule Benediktbeuern, Benediktbeuern",1700,https://ride2go.com/?trip=125740,
fahrgemeinschaft,24,OEZ Parken Süd nach Penzberg Roche Haupttor,1700,https://ride2go.com/?trip=556288,
fahrgemeinschaft,25,München nach Pullach im Isartal,1700,https://ride2go.com/?trip=100233,
fahrgemeinschaft,26,München nach Grassau,1700,https://ride2go.com/?trip=217649,
fahrgemeinschaft,27,"SteinCenter, Freising nach Universität der Bundeswehr München, Neubiberg",1700,https://ride2go.com/?trip=693132,
fahrgemeinschaft,28,"Five Rings, München nach Bad Feilnbach",1700,https://ride2go.com/?trip=310592,
fahrgemeinschaft,29,"Roche, Penzberg nach Olympia-Einkaufszentrum, München",1700,https://ride2go.com/?trip=328608,
fahrgemeinschaft,30,"Gräfelfing nach Lechhausen, Augsburg",1700,https://ride2go.com/?trip=712156,
fahrgemeinschaft,31,Mindelheim nach P+R-Parkplatz,1700,https://ride2go.com/?trip=154831,
fahrgemeinschaft,32,"Universität der Bundeswehr München, Neubiberg nach SteinCenter, Freising",1700,https://ride2go.com/?trip=623002,
fahrgemeinschaft,33,Ismaning nach P+R am Bahnhof,1700,https://ride2go.com/?trip=267316,
fahrgemeinschaft,34,Grassau nach München,1700,https://ride2go.com/?trip=618132,
